affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,policy_continuation_date,policy_start_date_pol,policy_lastchange_date,premium_wa,premium_other,zipcode_link_pol,zip4_pol,place_residence,birth_date_pol,gender,private_commercial,bonus_malus_percent,other_cover,premium_other_incl_discount,worth_car,brand_pol,builddate_car,weight_car,mileage_car,power_car,fuel_car,chassis,drive,turbo,transmission,zip4_reg,PROVINCE,URB,INCOME,SOCCL_A,SOCCL_B1,SOCCL_B2,SOCCL_C,SOCCL_D,EDU_HIGH,EDU_MID,EDU_LOW,DINK,OWN_HOUSE,AVG_HOUSE,RENT_PRICE,STAGE_OF_LIFE,SINGLE,FAM,FAM_WCHILD,SINGLES_YOUNG,SINGLES_MID,SINGLES_OLD,FAM_CHILD_Y,FAM_CHILD_O,FAM_WCHILD_Y,FAM_WCHILD_MED,FAM_WCHILD_OLD,CIT_HOUSEHOLD,LOAN,SAVINGS,SHOP_ONLINE,CAR,conv,churn
Seguros International Ltd.,Incompleterequest,1031,,10026,1011,1976-11-01,VOLVO,2018-10-18,,,340.2,2000.0,November,Y,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,1011.0,North Holland,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,11.0,4.0,3.0,5.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,0,-1
Insuro,Incompleterequest,1032,,10027,1901,1995-07-01,VOLKSWAGEN,2018-10-18,,,256.8,2002.0,December,Y,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,North Holland,4.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,5.0,8.0,,9.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0,6.0,5.0,5.0,0,-1
Insuro,Incompleterequest,1033,,10027,1901,1995-07-01,VOLKSWAGEN,2018-10-18,,,256.8,2002.0,December,Y,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,North Holland,4.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,5.0,8.0,,9.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0,6.0,5.0,5.0,0,-1
other,Policycreated,1034,10013.0,10028,2983,1965-03-01,OPEL,2018-10-18,2018-10-18,2018-11-01,452.88,2010.0,June,,,Y,2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,2983.0,South Holland,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,4.0,7.0,,6.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,1,1
other,Incompleterequest,1035,,10028,2983,1993-06-01,RENAULT,2018-10-18,,,269.76,2003.0,June,Y,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,2983.0,South Holland,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,4.0,7.0,,6.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,0,-1
Insuro,Calculatenewpremium,1036,,10029,3053,1988-11-01,VOLKSWAGEN,2018-10-18,,,719.88,2002.0,June,,,Y,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,3053.0,South Holland,1.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,,1.0,5.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,6.0,1.0,0,-1
other,Policycreated,1037,10014.0,10028,2983,1993-06-01,RENAULT,2018-10-18,2018-10-18,2018-11-01,269.76,2003.0,June,Y,,,2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,2983.0,South Holland,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,4.0,7.0,,6.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,1,1
Insuro,Policycreated,1038,10015.0,10030,2421,1993-08-01,ALFA ROMEO,2018-10-19,2018-10-19,2018-10-20,395.49,2009.0,March,,Y,,2018-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,2421.0,South Holland,6.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,,4.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,6.0,6.0,5.0,1,1
Insuro,Calculatenewpremium,1039,,10031,3111,1963-01-01,PEUGEOT,2018-10-19,,,309.96,2016.0,March,,Y,,2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,3111.0,South Holland,3.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,5.0,11.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,6.0,3.0,0,-1
other,Incompleterequest,1040,,10032,5051,1962-02-01,PEUGEOT,2018-10-19,,,452.04,2015.0,February,,,Y,2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,5051.0,North Brabant,4.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,11.0,,9.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,1.0,5.0,3.0,5.0,0,-1
